1007000173	sandy desert
1007000189	paisa mire
1007000205	ephemeral spring
1007000221	archipelago
1007000237	dambo
1007000253	terminal moraine
1007000269	lake bed
1007000285	quarry
1007000301	scrubland
1007000317	intertidal zone
1007000333	doline
1007000349	grain of rocky sand
1007000365	national wildlife refuge
1007000381	massif
1007000397	lake channel
1007000413	pingo
1007000429	arete
1007000445	transvasement
1007000461	pseudocrater
1007000477	mount
1007000493	obsequent stream
1007000509	marine terrace
1007000525	canalized stream
1007000541	brackish pond
1007000557	dry dam
1007000573	city
1007000589	Large river headwater biome
1007000605	slope
1007000621	sedimentary rock
1007000653	chondrite
1007000669	gold mine drainage
1007000685	mesophilic sulfur spring
1007000701	cave wall
1007000717	estuarine mud
1007000733	contaminated sludge
1007000749	poultry litter
1007000765	saline lake sediment
1007000781	mesotrophic water
1007000797	leptosol
1007000813	podzol
1007000829	fluvisol
1007000845	fuel oil
1007000893	animal manure
1007000941	enriched soil
1007000957	tannery
1007000989	face cream product
1007001037	allotment garden soil
1007001053	burned soil
1007001069	peaty paddy field soil
1007001085	underground water
1007001117	botanical garden
1007001293	humus
1007001309	silt
1007001325	neritic pelagic zone biome
1007001341	ocean biome
1007001357	marine downwelling
1007001373	pelagic isothermal surface
1007001389	water mass front
1007001405	polymetallic nodule
1007001421	dilution basin mediterranean sea biome
1007001437	marine coral reef flat zone
1007001453	marine pockmark
1007001469	shrubland biome
1007001485	tropical grassland biome
1007001501	mediterranean woodland biome
1007001517	mediterranean grassland biome
1007001533	conifer woodland
1007001549	cultured habitat
1007001597	bone meal
1007000014	cave system
1007000030	watercourse
1007000046	estuary
1007000062	underground water body
1007000078	agricultural feature
1007000094	lacustrine beach
1007000110	woodland
1007000126	mineral spring
1007000142	bank
1007000158	peat cut
1007000174	rocky desert
1007000190	peat swamp
1007000206	permanent spring
1007000222	continental island
1007000238	hydromorphic/phreatic dambo
1007000254	scroll plane
1007000270	land-tied island
1007000286	quicksand area
1007000302	chaparral
1007000318	tidal pool
1007000334	subjacent karst
1007000350	terrarium
1007000366	ramsar site
1007000382	lake shore
1007000398	volcanic cone
1007000414	natural arch
1007000430	dirt cone
1007000446	terrestrial biome
1007000462	polygenetic volcanic field
1007000478	range of mounts
1007000494	insequent stream
1007000510	meander neck
1007000526	cleft
1007000542	kame
1007000558	diversionary dam
1007000574	freshwater biome
1007000590	Large river delta biome
1007000606	waste water
1007000622	metamorphic rock
1007000638	carcass
1007000654	stony meteorite
1007000670	marine sediment
1007000686	anaerobic sludge
1007000702	chromate contaminated soil
1007000734	1,4-dioxane contaminated sludge
1007000750	pulp-bleaching waste water
1007000766	sulfide-oxidizing bioreactor
1007000782	borehole
1007000798	lixisol
1007000814	loam
1007000830	stagnosol
1007000846	petroleum
1007000894	fresh animal manure
1007000942	sarcosine enriched soil
1007000990	paper product
1007001006	research station
1007001038	allotment garden
1007001054	meadow soil
1007001070	steppe soil
1007001086	muddy water
1007001118	zoological garden
1007001294	mud
1007001310	sand
1007001326	oceanic pelagic zone biome
1007001342	marine coral reef biome
1007001358	marine oxygen minimum zone
1007001374	pelagic isohaline surface
1007001390	surface convergence
1007001406	suspended sediment
1007001422	marine hydrothermal vent chimney
1007001438	marine coral reef back reef
1007001454	marine sponge reef
1007001470	grassland biome
1007001486	temperate grassland biome
1007001502	subtropical coniferous forest biome
1007001518	subtropical dry broadleaf forest biome
1007001534	juniper woodland
1007001598	plant feed
1007000015	canal
1007000031	dead cave
1007000047	hedge
1007000063	populated place
1007000079	farm
1007000095	volcanic feature
1007000111	lava tunnel
1007000127	sulfur spring
1007000143	stream bank
1007000159	causeway
1007000175	isthmus
1007000191	abyssal feature
1007000207	neritic zone
1007000223	oceanic island
1007000239	fluvial dambo
1007000255	till plan
1007000271	beaver pond
1007000287	polder
1007000303	rift valley
1007000319	high tide zone
1007000335	syngenetic karst
1007000351	somma volcano
1007000367	national nature reserve
1007000383	stream bed
1007000399	ash cone
1007000415	raised beach
1007000431	drumlin field
1007000447	marine biome
1007000463	harbor
1007000495	tributary
1007000511	blanket bog
1007000527	interfluve
1007000543	swale
1007000559	weapons test site
1007000591	Small river biome
1007000607	food product
1007000623	sewage
1007000639	biofilm
1007000655	achondrite
1007000671	contaminated sediment
1007000687	hypolimnion
1007000703	xylene contaminated soil
1007000735	iron-reducing zone of petroleum contaminated sediment
1007000751	oil field production water
1007000767	thermophilic anaerobic methanogenic reactor
1007000783	saline water habitat
1007000799	histosol
1007000815	agricultural soil
1007000831	technosol
1007000847	oil
1007000895	mushroom compost
1007000943	trimethylamine enriched soil
