"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"University of Modena and Reggio Emilia, Department of Biology","Carlo  Del Prete","Dipartimento de Biologia Animale","Sezione Orto Botanico","Viale Caduti in Guerra 127","I-41100 Modena","Modena","41125","Italy"
"University of Ottawa, Biology Department","J. T. Arnason","Biology Department","Biology Department","University of Ottawa","Ottawa","Ontario","K1N 6N5","Canada"
"University of Oulu Zoological Museum","Jouni Aspi, Senior Curator","University of Oulu, Dept. of Biology","Zoological Museum","PO. Box 3000","Oulu","","FIN-90014","Finland"
"University of Reading, Centre for Plant Diversity and Systematics","Stephen Jury","Centre for Plant Diversity and Systematics","Plant Science Laboratories","The Harborne Building","Reading RG6 6AS","England","RG6 6AS","United Kingdom"
"University of Tartu","Urmas Koljalg","46 Vanemuise Str.","Natural History Museum","University of Tartu","Tartu","","51014","Estonia"
"University of Tennessee at Chattanooga","Stylianos Chatzimanolis","615 McCallie Ave. Dept 2653","","","Chattanooga","TN","37403","USA"
"University of Turku - Subarctic Research Institute, Kevo","Saini T. Heino","Subarctic Research Institute, Kevo","Kevo Subarctic Research Institute","","FIN-20014 Turku","","FIN-20014","Finland"
"University of Wales, Bangor Research Unit","","Bangor Research Unit","Institute of Terrestrial Ecology","Deiniol Road","Bangor LL57 2UP, Gwynedd","Wales","LL57 2UP","United Kingdom"
"University of Washington, Burke Museum","Sharon Birks","Box 353010","University of Washington","","Seattle","WA","98195-3010","USA"
"Uppsala University, Museum of Evolution, Botany Section (Fytoteket)","Stefan Ekman","Museum of Evolution","Norbyvägen 16","","SE-752 36 Uppsala","","","Sweden"
"Utah State University","Mary Barkworth","Old Main Hill","","","Logan","Utah","84322-5305","USA"
"Virginia Institute of Marine Science","Dr. Eric J. Hilton","P.O. Box 1346","Department of Fisheries Science, Fisheries Science Lab","Virginia Institute of Marine Science","Gloucester Point,","Virginia","23062-1346","USA"
"Virginia Polytechnic Institute and State University, Entomology Dept.","Eric Day","Entomology Department","Price Hall","","Blacksburg","VA","24061","USA"
"Washington State Department of Agriculture","Chris Looney","WSDA Arthropod Collection","PO Box 42560","","Olympia","WA","98504","USA"
"Waterborne Virus Bank","Mikyung YOON","The Catholic University of Korea, Songeui campus","Department of Microbiology","505 Banpo 4-dong/Seocho-gu","Seoul","","137-701","South Korea"
"Wesley E. Niles Herbarium @ University of Nevada, Las Vegas","Kathryn J. Birgy","School of Life Sciences","Box 454004","Box 454004","Las Vegas","Nevada","89154-4004","USA"
"Western Australian Museum","Diana S. Jones","Locked Bag 49","","","Welshpool","Western Australia","6986","Australia"
"National Zoological Gardens of South Africa","Kim Labuschagne","NZG Biobank","P O Box 754","","Pretoria","Gauteng","Yes","South Africa"
"Wildlife Institute of India, Department of Habitat Ecology","Bhupendra S. Adhikari","Department of Habitat Ecology","P.O. Box 18, Chandrabani","P.O. Box 18, Chandrabani,","Dehra Dun 248 001","Uttaranchal","248 001","India"
"William and Lynda Steere Herbarium of the New York Botanical Garden","Barbara M. Thiers","2900 Southern Blvd.","New York Botanical Garden","2900 Southern Blvd.","Bronx","New York","10458-5126","USA"
"Zebrafish Organogenesis Mutant Bank","Tae-Lin Huh","1370 San-kyuk dong, Buk-gu, Daegu","Kyungpook National University","","Dae-gu","Dae-gu","702-701","South Korea"
"Zoological Collection, University of Vienna","Prof. Dr. Hans Leo Nemeschkal","University of Vienna","Zoological Collection","UZA 1, Althanstrasse 14","Vienna","Vienna","A-1090 Vienna","Austria"
"Zoological Museum, Moscow Lomonosov State University","Mikhail Kalyakin","Ulitsa Bolshaya Nikitskaya, 6","Moscow Lomonosov State University","Zoological Museum","Moscow","Moscow","125009","Russia"
"Zoological Museum, Saratov State University","Vasilii V. Anikin","83 Astrakhanskaya Ul.","","","Saratov","Saratov Region","410012","Russia"
"Zoological Society of San Diego","Allison Alberts, PhD; Director of Conservation and Research","","","","","","",""
"Zoologisches Forschungsmuseum Alexander Koenig","","Zoologisches Forschungsmuseum A. Koenig","Adenauerallee 160","","Bonn","","D-53113","Germany"
"Agriculture and Agri-Food Canada","Paul M. Catling","Wm. Saunders Building, Central Experimental Farm","","","Ottawa","Ontario","K1A 0C6","Canada"
"Arnold Arboretum, Harvard University","","The Arborway","","","Jamaica Plain","Massachusetts","2130","USA"
"Ataturk Universitesi","","Fen Fakültesi","","","Erzurum","","","Turkey"
"Australian Tropical Herbarium","Darren Crayn","P.O. Box 6811","","","Cairns","Queensland","4870","Australia"
"Botanical Research Institute of Texas","Amanda Neill, Director of the Herbarium","1700 University Drive","","","Fort Worth","Texas","76107-3400","USA"
"British Antarctic Survey","Helen J. Peat","Biosciences Division","High Cross, Madingley Road","","Cambridge CB3 0ET","England","CB3 0ET","United Kingdom"
"California Academy of Sciences","Stanley D. Blum","55 Music Concourse Drive","Golden Gate Park","","San Francisco","California","94118","USA"
"Carnegie Museum of Natural History","Bonnie Isaac","Section of Botany","4400 Forbes Avenue","4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213-4080","USA"
"CSIRO","","Division of Plant Industry","P.O. Box 780","","Atherton","Queensland","4883","Australia"
"Department of Natural Resources, Environment and the Arts","Dave Albrecht","Alice Springs Desert Park","ALICE SPRINGS","AUSTRALIA PO Box 1120","ALICE SPRINGS","Northern Territory","871","Australia"
"Department of Natural Resources, Environment, The Arts and Sport","Ian Cowie, Chief Botanist","P.O. Box 496","","","Palmerston","Northern Territory","831","Australia"
"Environmental Protection Agency","","P.O. Box 1054","","","Mareeba","Queensland","4880","Australia"
"Forest Research Institute Malaysia","R. C. K.  Chung","Tropical Forest Biodiversity Centre","Forest Biodiversity Division","","52109 Kepong","Selangor","52109","Malaysia"
"Gros Morne National Park","Michael Burzynski","P.O. Box 130","","","Rocky Harbour","Newfoundland","A0K 4N0","Canada"
"Guangxi Institute of Botany","Fa-Nan  Wei, Director","Yanshan","Yanshan","Guilin 541006, Guangxi Zhuangzu","Guilin 541006","Guangxi Zhuangzu","","China"
"Icelandic Institute of Natural History, Akureyri Division","Starri Heiðmarsson","P.O. Box 180","P.O. Box 180","","IS-602 Akureyri","","","Iceland"
"Indian Agricultural Research Institute","E. Roshini Nayar","National Bureau of Plant Genetic Resources","","","New Delhi 110 012","Delhi Union Territory","110012","India"
"Jarvis Christian College","Dr. William Godwin","East Texas Natural History Collection","P. O. Box 1470","P.O. Box 1470","Hawkins","Texas","75765","USA"
"Katedralskolan","","Brunsbog 1","","","S-532 00 Skara","","","Sweden"
"Kunming Institute of Botany, Chinese Academy of Sciences","Liu Ende, Ph. D","132 Lanhei Road, Heilongtan","132 Lanhei Road, Heilongtan","","Kunming 650204","Yunnan","650204","China"
"Landcare Research","Eric H. C. McKenzie","Private Bag 92170","","Auckland Mail Centre","Auckland","Not Applicable","1142","New Zealand"
"Landcare Research New Zealand Limited","Ilse Breitwieser","Gerald Street, P.O. Box 40","","","Lincoln 7640","Lincoln","7640","New Zealand"
"Laurentian Forestry Centre, Canadian Forest Service","Pierre  DesRochers","1055 rue du P.E.P.S.P.O. Box 3800","Laurentian Forestry Centre, Canadian Forest Service","C.P. 10380 Succ. Sainte-Foy","Succ. Sainte-Foy, Québec","Québec","G1V 4C7","Canada"
"Miami University","Michael A. Vincent","Botany Department","MSC 1052100 Bishop Circle, Rm. 79Upham Hall","100 Bishop Circle, Rm. 79 Upham Hall","Oxford","Ohio","45056-1879","USA"
"Missouri Botanical Garden","Bruce H. Allen","P.O. Box 299","","","Saint Louis","Missouri","63166-0299","USA"
"Morris Arboretum, University of Pennsylvania","Timothy A. Block","Botany Department","9414 Meadowbrook Avenue","9414 Meadowbrook Avenue","Philadelphia","Pennsylvania","19118","USA"
"Nationaal Herbarium Nederland, Leiden University branch","Erik  Smets","P. O. Box 9514","","","2300 RA Leiden","","","Netherlands"
"National Botanical Research Institute","Dr. Tariq Husain, Curator","P.B. 436","Rana Pratap Marg","","Lucknow 226 001","Uttar Pradesh","226 001","India"
"National Herbarium of Cameroon","Gaston  Achoundong","B.P. 1601","National Herbarium of Cameroon","B.P. 1601","Yaoundé","","","Cameroon"
"National Museum of Nature and Science","Tsukasa Iwashina","Department of Botany","Amakubo 4-1-1","Amakubo 4-1-1","Tsukuba","","305-0005","Japan"
"Palynological Laboratory","","","","","Stockholm","","","Sweden"
"Pennsylvania Department of Agriculture","Wilbur L. Mountain","Bureau of Plant Industry","2301 North Cameron Street","","Harrisburg","Pennsylvania","17110-9408","USA"
"Queen Sirikit Botanic Garden","Prachaya Srisanga","Queen Sirikit Botanic Garden, P.O. Box 7, Mae Rim","","","Chiang Mai","","50180","Thailand"
"Ratcliffe College","","","","","Syston, Leicester, Leicestershire","England","","United Kingdom"
"Royal Botanic Gardens","David Mabberley","Royal Botanic Gardens","Kew","Richmond","Kew, Richmond, Surrey TW9 3AE","England","TW9 3AB","United Kingdom"
"South China Botanical Garden","Dian-Xiang  Zhang","The Chinese Academy of Sciences","Chinese Academy of Sciences","","Guangzhou 510650","Guangdong","510650","China"
"Swedish Museum of Natural History","","Section for Palaeobotany","","","Stockholm","","","Sweden"
"Trinity College","John A. N. Parnell","School of Botany","Trinity College","Dublin 2","Dublin 2","","","Ireland"
"University of Guelph","Carole Ann  Lacroix","Botany Department","","","Guelph","Ontario","N1G 2W1","Canada"
"University of Minnesota","Anita F. Cholewa","J. F. Bell Museum of Natural History","1445 Gortner Avenue","","St. Paul","Minnesota","55108-1095","USA"
"University of Oulu","Risto Virtanen","Botanical Museum","P.O. Box 3000","P.O. Box 3000","FIN-90014 Oulu","","FIN-90014","Finland"
"University of Stockholm","","Institute of Botany","","","S-106 91 Stockholm","","","Sweden"
"University of Tennessee","Eugene Wofford","Department of Ecology and Evolutionary Biology","442 Hesler Biology Bldg.","","Knoxville","Tennessee","","USA"
"University of Virginia","","","","","Charlottesville","Virginia","22904","USA"
"Virginia Polytechnic Institute and State University","Dr. Khidir Hilu, Director of the Herbarium","Department of Biological Sciences","Department of Biological Sciences (0406)","Virginia Tech","Blacksburg","Virginia","24061","USA"
"University of Copenhagen","Conny B. Asmussen Lange","Department of Plant and Environmental Sciences","Faculty of Life Sciences","Rolighedsvej 21","DK-1958 Frederiksberg C","","","Denmark"
"EMBRAPA","Catia Urbanetz","Centro de Pesquisas Agropecuárias do Pantanal","Caixa Postal 109","","79320-900 Corumbá","Mato Grosso do Sul","","Brazil"
"National Institute for the Control of Pharmaceutical and Biological Products","","Museum of Traditional Chinese Drugs","2 Tiantanxili","","Beijing","Beijing","","China"
"KwaZulu-Natal Nature Conservation Service","Charles Rob Scott-Shaw","Biodiversity and Planning Research Division","P.O. Box 13053, Cascades","","Pietermaritzburg 3202","KwaZulu-Natal Province","","South Africa"
"University of the Pacific","Mark S. Brunell","Biological Sciences Department","3601 Pacific Ave.","","Stockton","California","","USA"
"Cuc Phuong National Park","Nguyen Manh Cuong","","","","Nho Quan District","Ninh Binh Province","","Viet Nam"
"China Pharmaceutical University","","24 Tongjia Lane","","","Nanjing","Jiangsu","","China"
"Universidad Nacional de Cajamarca","Isidoro M. Sánchez Vega","Departamento de Biología","Apartado 55","","Cajamarca","","","Peru"
"Chongqing Botanical Garden","","Jinyunshan, Bebei","","","Chongqing","Chongqing","","China"
"Chongqing Natural History Museum","","74 Pipashan Central Street","","","Chongqing","Chongqing","","China"
"Museo Nacional de Costa Rica","Armando  Estrada","Apartado Postal 749-1000","","","San José","","","Costa Rica"
"University of Craiova","","Phytopathology Department","Str. Libertatii 15","","Craiova","","","Romania"
"University of Craiova","Gheorghe  Popescu","Botanical Garden","","","1100 Craiova","","","Romania"
"Cranbrook School","","","","","Cranbrook, Kent","England","","United Kingdom"
"Crosby Library","","","","","Crosby, Merseyside","England","","United Kingdom"
"Instituto dos Cereais","","","","","Lisboa","","","Portugal"
"Instituto Tecnológico Agropecuario de Jalisco","Servando  Carvajal","Km. 10 Carretera Tlajomulco de Zúñiga-San Miguel Cuyutlán","","","Tlajomulco de Zúñiga","Jalisco","","Mexico"
"Universidade do Extremo Sul Catarinense, Bairro Universitário","Vanilde Citadini Zanette","P.O. Box 3167, Avenida Universitária 1105","","","88806-000 Criciúma","Santa Catarina","","Brazil"
"University College","","Plant Science Department","Fota","","Cork","","","Ireland"
"Crater Lake National Park","Mary Merryman","Museum and Archives Collections","P.O. Box 7","","Crater Lake","Oregon","","USA"
"College of the Redwoods, Mendocino Coast Campus","Teresa A. Sholars","Biological Sciences Department","1211 Del Mar Drive","","Fort Bragg","California","","USA"
"Wellington College","","Natural History Society Museum","","","Crowthorne RG45 7PU, Berkshire","England","","United Kingdom"
"I.N.T.A., E.E.A. Bariloche","Donaldo E. Bran","Centro Regional Patagónico","Casilla de Correo 277","","8400 San Carlos de Bariloche","Río Negro","","Argentina"
"Colorado State University","Mark  Simmons","Biology Department","","","Fort Collins","Colorado","","USA"
"Colegio de Postgraduados, Campus Tabasco","M. C. Eustolia García López","Apartado Postal 24; Periférico Carlos A. Molina","","","68500 Cárdenas","Tabasco","","Mexico"
"National University of Life and Environmental Sciences of Ukraine, Southern Branch &quot;Crimean Agrotechnological University&quot;","Andriy Yena","Department of Phytodesign, Botany and Plant Physiology","Agrarnoye","","95492 Simferopol","","","Ukraine"
"St. John's University/College of Saint Benedict","Stephen G. Saupe","Biology Department","","","Collegeville","Minnesota","","USA"
"Colegio del Sagrado Corazón","","","","","Guantánamo","","","Cuba"
"Chadron State College","Steven Rolfsmeier","1000 Main Street","","","Chadron","Nebraska","","USA"
"Cebu State College of Science and Technology","","Agricultural Biology Laboratory","College of Agriculture","Lahug","Cebu City 6000","","","Philippines"
"Central-South Forestry University","Xun-Lin  Yu","College of Forestry Resource and Environment","","","Zhuzhou 412006","Hunan","","China"
"Chenshan Botanical Garden","Binjie Ge","3888 Chenhua Road, Songjiang District","","","Shanghai","","201602","China"
"California State University","Kirsten M. Fisher","Department of Biological Sciences","5151 State University Drive","","Los Angeles","California","","USA"
"California State Polytechnic University","Edward Bobich","Biological Sciences Department","","","Pomona","California","","USA"
"Caucasus State Nature Biosphere Reserve","Tatiana V. Akatova","Sovetskaya Street 187","","","Maikop 385000","Adygeya","","Russia"
"University of Central Oklahoma","Gloria M. Caddell","Biology Department","100 North University Drive","","Edmond","Oklahoma","","USA"
"Chelyabinsk State University","Vera V. Merker","Botanic Garden","129 Bratiev Kashirinykh","","454021 Chelyabinsk","","","Russia"
"California State University, San Bernardino","Kimberlyn Williams","Biology Department","5500 University Parkway","","San Bernardino","California","","USA"
"Caradoc and Severn Valley Field Club","","","","","Shrewsbury, Salop","England","","United Kingdom"
"University of Cape Town","","Botany Department","","","Rondebosch 7701","Western Cape Province","","South Africa"
"Chongqing Normal University","Hai He","Yifu Experimental BuildingHuxi CampusShapingba District","","","Chongqing","Chongqing","401331","China"
"Instituto de Botánica del Nordeste","María Mercedes  Arbo","Facultad de Ciencias Agrarias","Casilla de Correo 209","","Corrientes","Corrientes","","Argentina"
"Universidad Nacional del Nordeste","Luisa Z. Ahumada","Facultad de Ciencias Exactas y Naturales y Agrimensura","Casilla de Correo 326","","RA-3400 Corrientes","Corrientes","","Argentina"
"Free Library and Museum","","","","","Campbeltown, Strathclyde Region","Scotland","","United Kingdom"
"Chongqing Teachers College","","","","","Yongchuan","Sichuan","","China"
"Canterbury Literary and Philosophical Institution","","Museum","High Street","","Canterbury, Kent","England","","United Kingdom"
"Cornell University","","","","","Ithaca","New York","","USA"
"Cumhuriyet University","E. Donmez","Biology Department","Faculty of Science and Literature","","58140 Sivas","","","Turkey"
"Calcutta University","","Botany Department","35 Ballygunge Circular Road","","Kolkata 700 019","West Bengal","","India"
"Chinese University of Hong Kong","Paul Pui-Hay But","Biology Department","Shatin","","Hong Kong","Hong Kong","","China"
"Cornell University","Kathie T. Hodge","Dept. of Plant Pathology and Plant-Microbe Biology","334 Plant Science Building","","Ithaca","New York","","USA"
"Centro Universitario Regional del Litoral Atlantico","Eydi Yanina Guerrero","","","","La Ceiba","Atlántida","","Honduras"
"Cusino Wildlife Research Station","","Natural Resources Department","","","Shingleton","Michigan","","USA"
"Universidad del Valle","Philip Arthur Silverstone-Sopkin","Departamento de Biología","Apartado Aéreo 25360","","Cali","Valle del Cauca","","Colombia"
"Clark University","David Hibbett","Biology Department","","","Worcester","Massachusetts","","USA"
"Universidad Nacional San Antonio Abad del Cusco","Percy Nuñez Vargas","Facultad de Ciencias Biológicas","Apartado 367","","Cuzco","","","Peru"
"Clinch Valley College, University of Virginia","J. Rex Baird","Biology Department","","","Wise","Virginia","","USA"
"City Museum","","Natural History Department","","","286 01 Cáslav","","","Czech Republic"
"Reserva Natural da Vale","Luis Felipe Campos","Caixa Postal 91","","","29900-970 Linhares","Espírito Santo","","Brazil"
"Kharkov State University","","Botanic Garden","Klochkovskaya 52","","61002 Kharkov","","","Ukraine"
"Central Wyoming College","Richard W. Scott","1446 Cowboy Lane.","","","Riverton","Wyoming","","USA"
"Cawdor Castle","","","","","Cawdor","Scotland","","United Kingdom"
"V. N. Karasin National University","Alexander Yu. Akulov","4 Svobody Square","","","61077 Kharkov","","","Ukraine"
"Chipstead Valley Primary School","","Croydon Natural History and Scientific Society Limited","Chipstead Valley Road","","Coulsdon, Surrey","England","","United Kingdom"
"Ministry of Agriculture, Natural Resources and Environment","Kyriacos  Kyriacou","Forestry Department","","","CY-1414 Nicosia","","","Cyprus"
"Bangladesh National Herbarium","M. Matiur Rahman","Chiriakhana Road, Mirpur 1","","","Dhaka 1216","","","Bangladesh"
"Mountain Botanical Garden of the  Dagestan Scientific Centre","Ramazan Alibegovich Murtazaliev","M. Gadjieva str., 45","","","Makhachkala","Dagestan","","Russia"
"Université Cheikh Anta Diop","Amadou Tidiane Ba","Département de Biologie Végétale","Faculté des Sciences et Techniques","B.P. 5005","Dakar","","","Senegal"
"Dalhousie University","Carman A. Mills","Biology Department","","","Halifax","Nova Scotia","","Canada"
"Umweltamt Darmstadt","Klaus-Dieter  Jung","Naturwissenschaftlicher Verein Darmstadt","Bessunger Str. 125 - Block C","","D-64295 Darmstadt","","","Germany"
"Agriculture and Agri-Food Canada","A. Gordon Thomas","Saskatoon Research Centre","107 Science Place","","Saskatoon","Saskatchewan","","Canada"
"University of Daugavpils","Peteris Evarts-Bunders","Laboratory of Systematic Botany","Institute of Systematic Biology","13 Vienibas Street","LV-5401 Daugavpils","","","Latvia"
"University of California","","Environmental Horticulture Department","","","Davis","California","","USA"
"The Dawes Arboretum","David M. Brandenburg","7770 Jacksontown Rd. SE","","","Newark","Ohio","43056","USA"
"University College","","Botany Department","Stillorgan Road, Belfield","","Dublin","","","Ireland"
"Denver Botanic Gardens","Richard Allman Levy","Denver Botanic Gardens","","1005 York Street","Denver","Colorado","80206-3799","USA"
"National Botanic Gardens","Matthew Jebb","Glasnevin","","","Dublin 9","","","Ireland"
"Derby Museum and Art Gallery","Nick Moyes","The Strand","","","Derby, Derbyshire, DE1 1BS","England","","United Kingdom"
"Davidson College","","Biology Department","","","Davidson","North Carolina","","USA"
"Museum and Art Gallery","","Doncaster Metropolitan Borough","Chequer Road","","Doncaster, South Yorkshire","England","","United Kingdom"
"Forest Research Institute, Indian Council of Forestry Research and Education","Sas  Biswas","Systematic Botany Discipline","Botany Division","P.O. New Forest","Dehra Dun 248 006","Uttar Pradesh","","India"
"Debrecen University","Gábor  Matus","Botany Department","Faculty of Science and Agriculture","P.O. Box 14","H-4010 Debrecen","","","Hungary"
"Agnes Scott College","","Biology Department","","","","Georgia","","USA"
"Douglas Ecological Consultants","","R.R. 2","","","Duncan","British Columbia","","Canada"
"McManus Galleries","Richard K. Brinklow","Natural History Department","Albert Square","","Dundee DD1 1DA","Scotland","","United Kingdom"
"Northern Illinois University","Paul D. Sørensen","Biological Sciences Department","","","DeKalb","Illinois","","USA"
"University of Delaware","","Plant Science Department","Society of Natural History of Delaware","","Newark","Delaware","","USA"
"Delta Waterfowl and Wetlands Research Station","","R.R. 1","","","Portage la Prairie","Manitoba","","Canada"
"Denison University","Warren Hauk","Biology Department","","","Granville","Ohio","","USA"
"Watt Institute","","Dundee Naturalists' Association","","","Dundee","Scotland","","United Kingdom"
"Grand Mesa-Uncompahgre-Gunnison Natonal Forests","","216 North Colorado Street","","","Gunnison","Colorado","","USA"
"Intermountain Experiment Station","","Desert Experimental Range","","","Milford","Utah","","USA"
"Desert Botanical Garden","Wendy C. Hodgson","Research Department","1201 North Galvin Parkway","","Phoenix","Arizona","","USA"
"St. Joseph's College","Santhosh Nampy","Centre for Taxonomic Studies","","","DEVAGIRI, KOZHIKODE - 8","Kerala","","India"
"Death Valley National Park","Blair  Davenport","Resources Management Division","P.O. Box 579","","Death Valley","California","","USA"
"Davis and Elkins College","Michelle Mabry","Biology and Environmental Science Department","100 Campus Drive","","Elkins","West Virginia","","USA"
"Dartford Borough Museum","","Market Street","","","Dartford, Kent DA1 1EU","England","","United Kingdom"
"Desert Forestry Experimental Centre","","Chinese Academy of Forestry","","","Dengkou","Inner Mongolia","","China"
"Dumfries and Galloway Natural History and Antiquarian Society","","","","","Dumfries","Scotland","","United Kingdom"
"Dumfries Museum","","The Observatory","","","Dumfries DG2 7SW","Scotland","","United Kingdom"
"Darlington Museum","","Borough of Darlington","Tubwell Row","","Darlington, Durham","England","","United Kingdom"
"The Manx Museum","Kate  Hawkins","Manx National Heritage","","","Douglas IM1 3LY","","","Isle of Man"
"Daegu University","Hyosig Won","#1213 Department of Biological Science","","","Gyungsan, Gyungbuk","","712-714","South Korea"
"Hobart and William Smith Colleges","Elizabeth  Newell","Biology Department","","","Geneva","New York","","USA"
"University of Louisville","","Biology Department","","","Louisville","Kentucky","","USA"
"University of Durham","","Botany Department","","","Durham DH1 3LE","England","","United Kingdom"
"Dunbartonshire Natural History Society","","","","","Helensburgh G84 7DU","Scotland","","United Kingdom"
"Université de Bourgogne","Jean  Vallade","Laboratoire de Phytobiologie Cellulaire","BP 47870, 9 Avenue Alain Savary","","F-21078 Dijon Cedex","","","France"
"Museu do Dundo","","","","","Dundo","","","Angola"
"Universidade Federal dos Vales do Jequitinhonha e Mucuri","Fabiane Nepomuceno Costa","Campus JK, Rodovia MGT 367 - km 583, n. 5000, Alto da Jacuba","","","Diamantina","Minas Gerais","","Brazil"
"Delta Institute of Natural History","","","","","Bowdoin","Maine","","USA"
"Danish Arctic Station","","Disko","","","DK-3953 Qeqertarsuaq","","","Greenland"
"Juniper Hall Field Centre","","Field Studies Council","","","Dorking, Surrey","England","","United Kingdom"
"Stetson University","Cindy C. Bennington","Biology Department","P.O. Box 8261","","DeLand","Florida","","USA"
"Dudley and Midland Geological and Scientific Society and Field Club","","","","","Dudley, West Midlands","England","","United Kingdom"
"Crichton Royal Institution Museum","","Grierson House, Bankend Road","","","Dumfries DG1 4ZE, Dumfries and Galloway Region","Scotland","","United Kingdom"
"The University of Newcastle","Tina E. Offler","School of Environmental and Life Sciences","Room # LS 103Biology Building","","Callaghan, Newcastle","New South Wales","2308","Australia"
"Medicinal Plants Research Institute","Nuchattra Chansuvanich","Department of Medical Sciences","Tiwanon Road","","Nonthaburi 11000","","","Thailand"
"Britannia Royal Naval College","","","","","Dartmouth, Devon","England","","United Kingdom"
"Mithila University","","Botany Department","","","Darbhanga 846 004","Bihar","","India"
"Department of Primary Industry and Fisheries","José R. Liberato","Northern Territory Plant Pathology","GPO Box 3001","","Darwin","Northern Territory","828","Australia"
"Dalian Museum of Natural History","","3 Yantai Street","","","Dalian","Liaoning","","China"
"Dundee Naturalists' Society","","","","","Dundee","Scotland","","United Kingdom"
"Donetsk Botanical Garden of the National Academy of Sciences of Ukraine","Ganna (Anna) Boiko","Illich's Avenue","","","110 Donetsk","","","Ukraine"
"Société d'Agriculture Sciences et Arts","","","","","Douai","","","France"
"Collegio Mellerio Rosmini","","Via Rosmini 24","","","I-28845 Domodossola","","","Italy"
"Dorset County Museum","Kate  Hebditch","High West Street","","","Dorchester, Dorset DT1 1XA","England","","United Kingdom"
"Botanischer Garten Rombergpark, Stadt Dortmund","Heribert  Reif","Am Rombergpark 49 b","","","D-44225 Dortmund","","","Germany"
"Delaware State University","Arthur O. Tucker","Department of Agriculture and Natural Resources","","","Dover","Delaware","","USA"
"DePauw University","","Botany and Bacteriology Department","","","Greencastle","Indiana","","USA"
"Daqing Teachers College","Qi-Hua  Zhang","Biology Department","Xijia Road","","Daqing","Heilongjiang","","China"
"Technische Universität Dresden","Frank Müller","Institut für Botanik","Helmholtzstr. 10","","D-01062 Dresden","","","Germany"
"Delta State University","Nina L. Baghai Riding","Biological Sciences Department","Box 3262","","Cleveland","Mississippi","","USA"
"University of Dar es Salaam","Frank M. Mbago","Botany Department","P.O. Box 35060","","Dar es Salaam","","","Tanzania"
"Dnipropetrovsk National University","Leonid Pavlovich Mytzik","Department of Geobotany, Soil Science, and Ecology","Gagarina Avenue, 72","","49010 Dnepropetrovsk","","","Ukraine"
"Dewsbury Museum","","Kirklees Metropolitan Council","Crow's Nest Park","","Dewsbury, West Yorkshire","England","","United Kingdom"
"Centro de Investigaciones Científicas y Transferencia de Tecnología a la Producción (CICyTTP-CONICET)","Pablo Gilberto Aceñolaza","Materi y España","","","Ciudad de Diamante","","","Argentina"
"Darlington and Teesdale Naturalists' Field Club","","","","","Darlington, Durham","England","","United Kingdom"
"National Botanic Gardens","","Glasnevin","","","Dublin 9","","","Ireland"
"Dublin Naturalists' Field Club","","","","","Dublin","","","Ireland"
"University of Dundee","K. R. Skene","School of Biological Sciences","","","Dundee, Tayside Region","Scotland","","United Kingdom"
"University of Dicle","","Biological Department, Botany","Faculty of Art and Sciences","","21280 Diyarbakir","","","Turkey"
"Universidad del Atlantico","Hermes Cuadros","Facultad de Ciencias Basicas","","","Barranquilla","","","Colombia"
"University of Delhi","K. R. Shivanna","Botany Department","","","New Delhi 110 007","Delhi Union Territory","","India"
"Universität Duisburg","","Fachbereich 6, Botanik","Gesamthochschule","Postfach 10 16 29, Lotharstrasse 1","D-47048 Duisburg","","","Germany"
"Duke University","Kathleen  Pryer","Biology Department","Rm 137,  BioSci Bldg, Duke Box 90338130 Science Drive","","Durham","North Carolina","","USA"
"University of Minnesota","David J. Schimpf","Biology Department","","","Duluth","Minnesota","","USA"
"Düzce University","Necmi Aksoy","Department of Forest Botany","Faculty of Forestry","","81620, Beçiyörükler-Düzce","Düzce","","Turkey"
"Dumlupinar University","Hüseyin Misirdali","Department of Biology","Faculty of Science and Art","","43100 Kütahya","","","Turkey"
"Southeastern Oklahoma State University","Stanley A. Rice","Biological Sciences Department","","","Durant","Oklahoma","","USA"
"Universität Düsseldorf","","Botanisches Institut","Universitätsstraße 1","","D-40225 Düsseldorf","","","Germany"
"Diablo Valley College","","Biology Department","","","Pleasant Hill","California","","USA"
"Dover Corporation Museum","","Ladywell","","","Dover, Kent","England","","United Kingdom"
"West Chester University","Sharon  Bartholomew-Began","Biology Department","","","West Chester","Pennsylvania","","USA"
"Darwen Library","","","","","Darwen, Lancashire","England","","United Kingdom"
"Disney Wilderness Preserve/The Nature Conservancy","B Pace-Aldana","2700 Scrub Jay Trail","","","Kissimmee","Florida","","USA"
"Dakota Wesleyan University","Robert  Tatina","Biology Department","","","Mitchell","South Dakota","","USA"
"Devizes Museum","","Wiltshire Archaeological and Natural History Society","41 Long Street","","Devizes, Wiltshire","England","","United Kingdom"
"Estonian Agricultural University","Kadri Pärtel","Institute of Plant Protection","Kreutzwaldi 5","","EE 51014 Tartu","","","Estonia"
"Universidade Federal do Ceará","Maria Iracema Bezerra Loiola","Departamento de Biologia","Centro de Ciências","Campus do Pici, bloco 906","60451-970 Fortaleza","Ceará","","Brazil"
