"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Departamento de Microbiologia Medica","","Av. Brigadeiro Trompowski, S/N, CCS, Cidade Universitaria, 21.944 Rio de Janeiro, RJ, Cx. Postal 68040","","","","","","Brazil"
"The Belgian Co-ordinated Collections of Micro-organisms /BCCM/ULC Polar cyanobacteria","","Centre for Protein Engineering, Institute of Chemistry B6, Sart Tilman, University of Lige,B-4000 Lige","","","","","","Belgium"
"Departamento de Zoolgia, Instituto de Biologia","","Universidade Federal do Rio de Janeiro, Caixa Postal 68044, 21944-970 Rio de Janeiro, Rio de Janeiro","","","","","","Brazil"
"Instituto Nacional de Pesquisas da Amazonia","","Campus INPA Aleixo I, Alojamento 5 - Av. Andr Arajo, 2936 Bairro Aleixo, CEP: 69060-001, Manaus  AM","","","","","","Brazil"
"University of Indonesia Culture Collection","","Department of Biology, Faculty of Mathematics and Sciences, University of Indonesia, Depok, , 16424","","","","","","Indonesia"
"International Culture Collection of (Vesicular) Arbuscular Mycorrhizal Fungi","","1090 Agricultural Sciences Building, West Virginia University, Morgantown, West Virginia 26506-6018","","","","","","USA"
"National Fungal Culture Collection of India","","Mycology and Plant Pathology Group Agharkar Research Institute, GG Agarkar Road, Pune 411004, INDIA","","","","","","India"
"Helminthological Collection of Oswaldo Cruz Institute (Coleccion. Helmintologica del Instituto Oswaldo Cruz)","Unknown Primary Contact","Laboratrie de Helmintologia Fundaco Oswaldo Cruz Av. Brasil, 4365","","","Rio de Janeiro","","","Brazil"
"Korean Collection for Type Cultures","","Genetic Resources Center, Korea Research Institute of Bioscience and Biotechnology, Taejon 305-600","","","","","","South Korea"
"Culture collection of Mendel University of Agriculture and Forestry in Brno","","Faculty of Forestry and Wood Technology, Department of Forest Protection and Game Management, Brno","","","","","","Czech Republic"
"University of Texas Health Science Center","","Department of Pathology, Room 329E. Mail Code 7750, Science Center at San Antonio Texas 78229-3900","","","","","",""
"Laboratory Culture Collection","","Institute of Medical Science, University of Tokyo, 4-6-1 Shirokanedai, Minato-ku, Tokyo, 108-8639","","","","","","Japan"
"Bacillus Genetic Stock Center","","Department of Biochemistry, The Ohio State University, 484 W. Twelfth Ave., Columbus, OH, 43210","","","","","","USA"
"European Arabidopsis Stock Centre","","School of Biosciences, University of Nottingham, Sutton Bonington Campus, Loughborough LE12 5RD","","","","","","United Kingdom"
"Raffles Museum of Biodiversity Research","","Department of Biological Sciences, National University of Singapore, 6 Science Drive 2, #03-01,","","","","","","Singapore"
"Yukon Heritage Board , Paleontology Collections","","Department of Tourism and Culture, Government of Yukon, Box 2703,Whitehorse, Yukon,Canada Y1A 2C6","","","","","","Canada"
"Belarus National Academy of Sciences","","Institute of microbiology, Belarus National Academy of Sciences, 2 Kuprevich str., Minsk 220141","","","","","","Belarus"
"Instytut Systematyki i Ewolucji Zwierz","","Karkow - Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, Cracow","","","","","","Poland"
"Mycotheca Universitatis Taurinensis","","University of Turin, Department of Plant Biology, Viale P.A. Mattioli 25, Torino, Italy, 10125","","","","","","Italy"
"Coleccion Nacional de Insectos, Universidad Nacional Autonoma de Mexico","","Ciudad Universitaria, Copilco, Coyoacn, A.P. 70-153 Mexico City , Distrito Federal C.P. 04510","","","","","","Mexico"
"University Palacky Olomouc","","Department of Zoology, Faculty of Science, Palacky University,Trida Svobody 26, Olomouc 77641","","","","","","Czech Republic"
"National Institute of Animal Health","","Ministry of Agriculture, Forestry and Fisheries, Kannondai 3-1-5, Tsukuba, Ibaraki, 305-0856","","","","","","Japan"
"University of Washington Fish Collection","Katherine Maslenikov","University of Washington Fish Collection","School of Aquatic and Fishery Sciences","1140 NE Boat St., room 005","Seattle","Washington","98105","USA"
