"URL","Collection Name","Collection Code","Institution Name","Institution Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status","Status of Collection","Access Eligibility and Rules","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","LSID","Cool URI"
"http://grbio.org/institutional-collection/archaeozoological-materials-collection","Archaeozoological Materials Collection","ARCO","Museum d'Histoire Naturelle","MHNG","","","","Samples of animal remains from archaeological sites.","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","Route de Malagnou 1","","","Geneva","","1208","Switzerland","","","http://grbio.org/cool/3n49-qtjd"
"http://grbio.org/institutional-collection/insect-arachnid-and-myriapod-collection","Insect, Arachnid and Myriapod Collection","ARTH","Field Museum of Natural History","FMNH","http://fieldmuseum.org/explore/department/zoology/insects/collections","http://fieldmuseum.org/explore/department/zoology/insects/collections","","The Division of Insects’ holdings of worldwide Arthropoda (excluding Crustacea) rank fifth in overall size among North American collections and are of worldwide importance for many groups. The collection presently includes roughly 4.1 million pinned insects plus 8.3 million specimens or lots in alcohol or on microscope slides. In addition, there are over 17,000 partly-sorted “bulk samples” from traps or leaf-litter extractions. The collection receives heavy use by US and international research visitors and borrowers as well as extensive educational use.","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","The Field Museum of Natural History","1400 S. Lake Shore Drive","","Chicago","IL","60605-2496","USA","The Field Museum of Natural History","1400 S. Lake Shore Drive","","Chicago","IL","60605-2496","USA","Crystal Maier","","http://grbio.org/cool/n9zv-z18s"
"http://grbio.org/institutional-collection/arthropoda-aranea-collection","Arthropoda - Aranea collection","ARA","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/dcwv-4wr8"
"http://grbio.org/institutional-collection/arthropoda-chilopoda-collection","Arthropoda - Chilopoda collection","CHIL","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/iqdb-whcm"
"http://grbio.org/institutional-collection/arthropoda-collembola-collection","Arthropoda - Collembola collection","COL","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/w6kb-pxe4"
"http://grbio.org/institutional-collection/arthropoda-diplopoda-collection","Arthropoda - Diplopoda collection","DIP","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/w4mj-tj3y"
"http://grbio.org/institutional-collection/arthropoda-diplura-collection","Arthropoda - Diplura collection","APT.D","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/mngf-9ycg"
"http://grbio.org/institutional-collection/arthropoda-pedipalpida-collection","Arthropoda - Pedipalpida collection","PED","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/dgi1-pkca"
"http://grbio.org/institutional-collection/arthropoda-protura-collection","Arthropoda - Protura collection","APT.P","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/gncw-agnw"
"http://grbio.org/institutional-collection/arthropoda-pseudoscorpioida-collection","Arthropoda - Pseudoscorpioida collection","PSS","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/a17v-aygm"
"http://grbio.org/institutional-collection/arthropoda-pycnogonida-collection","Arthropoda - Pycnogonida collection","PYC","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/bns0-bwge"
