"URL","Collection Name","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"http://grbio.org/institutional-collection/bank-edible-and-medicinal-fungi","Bank of Edible and Medicinal Fungi","University of Barcelona Culture Collection",,"BEMF","http://www.ub.edu/bemf",,,,"Biological: Living cell or tissue cultures","Storage Environment: Other (please define)","Yes","Departament de Biologia Vegetal. 3ª planta","Facultat de Biologia. Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain","Departament de Biologia Vegetal. 3ª planta","Facultat de Biologia. Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain",,"Yes",
"http://grbio.org/institutional-collection/beecher-crampton-collection","Beecher Crampton Collection","UC Davis Center for Plant Diversity",,"AHUC","http://herbarium.ucdavis.edu",,,"AHUC (55 000 specimens) transferred to DAV in 1988. Crampton Collection should be cited as AHUC. Specialty: Poaceae collections are worldwide; other families are mainly from California, esp. the Central Valley, including excellent collections of Fabaceae.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA","UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA",,"Yes",
"http://grbio.org/institutional-collection/benign-prostatic-hyperplasia-collection","Benign Prostatic Hyperplasia Collection","Korea Prostate Bank",,"BPH","http://www.prostatebank.or.kr",,,"Primarily preserved gDNA extracted from the BPH patient's blood is on sale each 2ug.","Biological: Molecular derivatives (DNA, RNA, proteins) (non-human)","Storage Environment: Other (please define)","Yes","5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","South Korea","5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","South Korea",,"Yes",
"http://grbio.org/institutional-collection/benthic-invertebrates-collection","Benthic Invertebrates Collection","Scripps Institution of Oceanography",,"BIC",,,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes",,,,,,,,"Scripps Institution of Oceonography","University of California, San Diego 0244","9500 Gilman Drive","La Jolla","California","92093-0244","USA",,"Yes",
"http://grbio.org/institutional-collection/biodiversity-institute-ontario-oac-herbarium","Biodiversity Institute of Ontario OAC Herbarium","University of Guelph",,"OAC","http://www.uoguelph.ca/foibis/",,,,"Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,"University of Guelph",,,"Guelph","Ontario","N1G2W1","Canada",,"Yes",
"http://grbio.org/institutional-collection/bird-collection","Bird collection","National Museum of Natural History, Naturalis",,"AVES","http://science.naturalis.nl",,,"Collection also contains specimens preserved in alcohol.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/bird-collection-0","Bird Collection","Portland State University, Vertebrate Biology Museum",,"Birds",,,,,"Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","Portland State University","Museum of Vertebrate Biology","P.O. Box 751","Portland","OR","97207-0751","USA","PSU-Museum of Vertebrate Biology","Science Building 2, Room B2-79","1719 SW 10th Avenue","Portland","OR","97201-3203","USA",,"Yes",
"http://grbio.org/institutional-collection/bird-specimens","Bird Specimens","Museum of Vertebrate Zoology, University of California Berkeley",,"Bird","http://mvz.berkeley.edu/Bird_Collection.html","http://arctos.database.museum",,"The MVZ bird collection is one of the largest in the United States. It houses over 185,000 catalogued specimens, including 174 holotype and 2 syntypes. The majority of specimens are study skins, but the collection also contains over 21,000 skeletal specimens and 3,200 fluid-preserved specimens. Other types of preparations include flat specimens (wings, skins) and body skins with skeletons. Tissues, anatomical parts (e.g., syrinx, stomach contents), and parasites are routinely preserved with specimens. Many specimens also are associated with cataloged audio recordings.","Biological: Preserved organisms, their parts & products","Sample Treatment: Cryopreserved","Yes","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA","3101 VLSB","University of California",,"Berkeley","CA","94720","USA","Carla Cicero, PH.D","Yes","urn:lsid:biocol.org:col:34777"
"http://grbio.org/institutional-collection/birds","Birds","University of Manchester Museum, Zoology & Entomology",,"B",,,,"first of two collection codes for the birds collection","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom","Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom",,"Yes",
"http://grbio.org/institutional-collection/birds-0","Birds","Museum of New Zealand Te Papa Tongarewa",,"OR",,,,"Particularly strong in albatrosses (1100+ specimens), petrels (7000), penguins, shags, gulls, and terns (over 1500 specimens of each), waterfowl (13,000+), and flightless ground birds (6000+) Bird specimens cited as NMNZ OR.0xxxxx","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
